BF_replication,BF_uniform,BF_BUJ,True_prob,data_length_at_stop_BF
9.58E-61,3.24E-60,1.19E-60,0.550150922,30060
5.65E-30,2.71E-28,9.51E-29,0.535637255,30060
3.68E-33,8.82E-32,1.87E-32,0.529754356,30060
4.04E-24,6.56E-23,2.18E-23,0.529552407,30060
2.64E-13,5.76E-12,1.16E-12,0.523955819,30060
8.60E-33,2.28E-31,4.40E-32,0.538643054,30060
2.05E-75,6.36E-75,2.33E-75,0.548497548,30060
1.82E-13,3.90E-12,8.07E-13,0.529317965,30060
5.44E-15,8.59E-14,2.54E-14,0.522293355,30060
0.00086566,0.006124303,0.001724864,0.515515017,30060
9.69E-51,1.27E-49,3.14E-50,0.544987728,30060
4.29E-47,4.40E-46,1.57E-46,0.54032262,30060
2.98E-64,3.09E-63,5.70E-64,0.548476233,30060
2.64E-22,4.13E-21,1.42E-21,0.535447415,30060
3.43E-65,2.78E-64,6.29E-65,0.554247351,30060
4.16E-58,1.77E-56,6.38E-57,0.545720422,30060
2.75E-44,3.40E-43,1.09E-43,0.548475205,30060
1.14E-32,3.12E-31,5.84E-32,0.536817852,30060
2.39E-83,6.40E-83,1.81E-83,0.552814723,30060
5.28E-26,1.37E-24,2.86E-25,0.535297611,30060
1.05E-91,1.90E-91,3.37E-92,0.556895158,30060
7.92E-20,1.19E-18,4.14E-19,0.523365594,30060
1.05E-24,1.95E-23,5.69E-24,0.526206077,30060
5.86E-08,5.48E-07,1.87E-07,0.521514586,30060
8.27E-59,4.12E-58,1.50E-58,0.551912501,30060
6.83E-51,9.21E-50,2.21E-50,0.542733793,30060
1.41E-31,5.11E-30,7.31E-31,0.536518923,30060
1.05E-24,1.95E-23,5.69E-24,0.527629019,30060
6.73E-28,2.78E-26,3.62E-27,0.533160994,30060
1.92E-19,2.87E-18,9.95E-19,0.524371085,30060
2.49E-15,3.65E-14,1.18E-14,0.525737953,30060
9.57E-05,0.00066729,0.000218396,0.517072877,30060
6.00E-74,2.00E-73,7.32E-74,0.554495949,30060
8.19E-63,1.26E-61,4.62E-62,0.548476233,30060
1.54E-19,2.30E-18,8.00E-19,0.524071757,30060
53.82626662,81.52550182,27.78262488,0.506540367,30060
1.92E-17,2.77E-16,9.60E-17,0.530466494,30060
4.18E-13,9.29E-12,1.82E-12,0.522007399,30060
0.001728182,0.011775866,0.003283599,0.514195547,30060
0.232010859,0.511405184,0.174527193,0.504572385,100080
7.96E-37,1.10E-35,3.80E-36,0.540314995,30060
2.17E-29,1.06E-27,3.71E-28,0.531803844,30060
2.10E-14,3.77E-13,9.61E-14,0.522814543,30060
1.13E-42,1.65E-41,4.71E-42,0.541869257,30060
8.22E-43,1.18E-41,3.41E-42,0.541064399,30060
1.64E-09,1.77E-08,5.86E-09,0.519452691,30060
3.18E-66,2.00E-65,5.57E-66,0.546095111,30060
1.94E-50,2.42E-49,6.38E-50,0.550788995,30060
9.74E-38,1.43E-36,4.56E-37,0.536123483,30060
5.01E-13,1.12E-11,2.18E-12,0.524071757,30060
4.27E-35,6.29E-34,2.10E-34,0.540745964,30060
1.21E-45,1.28E-44,4.62E-45,0.54009349,30060
2.88E-52,5.07E-51,8.87E-52,0.539963156,30060
0.004741382,0.0228873,0.007296405,0.514100373,37836
1.11E-29,5.40E-28,1.89E-28,0.526619941,30060
3.23E-44,4.03E-43,1.29E-43,0.541969218,30060
1.64E-84,4.36E-84,1.16E-84,0.556895158,30060
3.47E-42,5.23E-41,1.46E-41,0.539932874,30060
6.12E-32,2.03E-30,3.16E-31,0.532523537,30060
1.21E-44,1.44E-43,4.77E-44,0.541847451,30060
8.48E-22,1.27E-20,4.53E-21,0.524765384,30060
9.66E-31,4.19E-29,1.48E-29,0.537911118,30060
1.73E-14,3.06E-13,7.96E-14,0.525415453,30060
1.41E-78,3.71E-78,1.36E-78,0.559679227,30060
7.47E-33,1.94E-31,3.81E-32,0.536343853,30060
5.28E-09,5.32E-08,1.83E-08,0.518556712,30060
7.01E-41,1.12E-39,3.05E-40,0.53779407,30060
9.46E-13,2.14E-11,4.06E-12,0.518782274,30060
1.04E-12,2.35E-11,4.43E-12,0.525198406,30060
1.18E-14,2.01E-13,5.46E-14,0.522814543,30060
