"BF_replication","BF_uniform","BF_BUJ","True_prob","data_length_at_stop"
"54.1786686239993","79.28771027556","27.0441863921186","0.5","37836"
"57.3036724671203","82.9773513107429","28.3024107380576","0.5","37836"
"363.108049333355","377.298142899732","128.66274849937","0.5","37836"
"406.239866340626","415.115338244164","141.557827274717","0.5","37836"
"161.57116166774","192.523079981198","65.6572017763132","0.5","37836"
"197.411192508963","226.910928491765","77.3830125744784","0.5","37836"
"110.680702056628","141.474320804403","48.2500361192472","0.5","37836"
"180.58987838148","210.897548636118","71.9226663234796","0.5","37836"
"155.915688826836","186.996603520349","63.7727373153857","0.5","37836"
"195.855458609598","225.438378214368","76.8808933447271","0.5","37836"
"16.3296200249263","22.7262420473251","7.75115163092573","0.5","136080"
"165.874388165259","196.708033872463","67.0842209372693","0.5","37836"
"485.534455406958","483.837583156511","164.991080829882","0.5","37836"
"115.524091871463","140.298464812817","47.8470745816171","0.5","62388"
"224.630145334224","252.427540838054","86.0838104221583","0.5","37836"
"101.474805832903","131.848573863776","44.96769866471","0.5","37836"
"208.445133940244","237.309170609275","80.9286663920429","0.5","37836"
"258.388026537157","283.521383067081","96.6863399749171","0.5","37836"
"523.151351861245","516.160961463466","176.012883455464","0.5","37836"
"182.092143599142","212.336192408741","72.4132249759565","0.5","37836"
"49.148340348376","61.2252517252172","20.8802477385479","0.5","136080"
"135.571620714646","166.841239867039","56.8999669678692","0.5","37836"
"76.5416678382999","104.913983504418","35.7829988295714","0.5","37836"
"64.7533367311641","91.6192869192303","31.2494145948381","0.5","37836"
"58.8747875632867","79.3918423044708","27.0775830857076","0.5","62388"
"95.9455262513191","125.992202386856","42.9706918001778","0.5","37836"
"56.1581142014675","76.2799621611395","26.0163832442668","0.5","62388"
"2.54635183891665","4.15029563933121","1.41572915634989","0.5","136080"
"8.76975743489709","12.9174913741195","4.40592525365075","0.5","136080"
"313.944568849165","333.683879332347","113.790968045663","0.5","37836"
"58.9089902559102","84.8572709669317","28.9434892603974","0.5","37836"
"162.999746865918","193.914284912041","66.1315861486991","0.5","37836"
"213.24945819068","241.812824177296","82.4643474286357","0.5","37836"
"76.2076255497561","98.744718245908","33.6771308378404","0.5","62388"
"62.1655498373189","77.3257782921229","26.3712129649979","0.5","111528"
"65.616972742662","92.6082304001266","31.5866538319801","0.5","37836"
"77.4987722558392","105.975436875583","36.1449588291754","0.5","37836"
"62.3934919514346","83.387948060964","28.4403115376013","0.5","62388"
"254.933529307","280.36376652526","95.609641315199","0.5","37836"
"158.23236416623","183.042964795098","62.4227742515743","0.5","62388"
"251.495953875882","277.216477499067","94.5364640364007","0.5","37836"
"140.860479817458","172.125539760874","58.7018627348319","0.5","37836"
"148.380018318137","173.349090974216","59.1172208298644","0.5","62388"
"73.7134243297736","101.762485777952","34.7083225965947","0.5","37836"
"248.07551133138","274.079659528956","93.4668570731885","0.5","37836"
"275.907055714392","299.459474582295","102.120982169727","0.5","37836"
"114.245333977436","145.16298333459","49.5078490522968","0.5","37836"
"90.9245521598455","114.620479950727","39.0908557288705","0.5","62388"
"195.855458609598","225.438378214368","76.8808933447271","0.5","37836"
"69.1434511820297","96.6206927314682","32.9549375254234","0.5","37836"
"343.949846935634","360.374626600906","122.892093922644","0.5","37836"
"131.950502393773","156.973927125903","53.5333651959377","0.5","62388"
"98.6962888929447","118.93211828252","40.5599970580635","0.5","86958"
"202.109434443718","231.348118631844","78.896032327324","0.5","37836"
"86.4346168483666","115.771025016884","39.485277047125","0.5","37836"
"343.949846935634","360.374626600906","122.892093922644","0.5","37836"
"124.910942029398","145.783281817741","49.7162692433926","0.5","86958"
"111.862154501838","142.699158293073","48.6676990099457","0.5","37836"
"430.281999792658","436.04922389297","148.695963303661","0.5","37836"
"76.5416678382999","104.913983504418","35.7829988295714","0.5","37836"
"512.64503339498","507.148238519816","172.939674737711","0.5","37836"
"137.698017585816","162.734321986091","55.4976368225133","0.5","62388"
"213.24945819068","241.812824177296","82.4643474286357","0.5","37836"
"246.70517911599","267.016105860356","91.0568589764079","0.5","62388"
"58.8747875632867","79.3918423044708","27.0775830857076","0.5","62388"
"191.219691286865","221.04056785061","75.3813003836305","0.5","37836"
"92.7117966545974","122.538842508421","41.7931014878739","0.5","37836"
"302.913381923929","323.807135469796","110.423153513329","0.5","37836"
"332.601045639711","350.30769220386","119.459427142559","0.5","37836"
"85.4132188259739","114.661320642847","39.1068668187373","0.5","37836"
"64.7533367311641","91.6192869192303","31.2494145948381","0.5","37836"
"186.631666587529","216.672974832826","73.8920101824108","0.5","37836"
"200.538208573249","229.865820069505","78.390589350407","0.5","37836"
"90.5911341790716","120.262175894339","41.0167600354443","0.5","37836"
"89.1084759591544","112.684804379978","38.4307828499268","0.5","62388"
"326.969530709034","345.29985354308","117.751832776836","0.5","37836"
"174.636108993234","205.178323480132","69.972484346653","0.5","37836"
"94.860602055137","124.835997971581","42.5764282416177","0.5","37836"
"301.087166548675","322.168411162132","109.864374246393","0.5","37836"
"58.1027565540212","83.9143977082048","28.6219567237929","0.5","37836"
"60.41694867314","75.4058037667397","25.7164786888679","0.5","111528"
"80.733976355498","99.968223185683","34.0932151516431","0.5","86958"
"95.9455262513191","125.992202386856","42.9706918001778","0.5","37836"
"120.320630666012","151.403964656038","51.635982756377","0.5","37836"
"198.972118547125","228.386749582447","77.8862470100242","0.5","37836"
"58.1027565540212","83.9143977082048","28.6219567237929","0.5","37836"
"100.355044225809","130.667330041972","44.5648983512818","0.5","37836"
"101.474805832903","131.848573863776","44.96769866471","0.5","37836"
